epoch,loss,val_loss
0,-0.985124648,-1.359967232
1,-1.391277671,-1.46386981
2,-1.478653669,-1.584482074
3,-1.539279103,-1.374044299
4,-1.58248806,-1.647806406
5,-1.619589925,-1.648020864
6,-1.650327325,-1.727066517
7,-1.676028848,-1.649953842
8,-1.696107864,-1.745818853
9,-1.716934323,-1.776317596
10,-1.733700991,-1.709214091
11,-1.748064876,-1.721203208
12,-1.763162971,-1.803399444
13,-1.775375247,-1.79180336
14,-1.786595821,-1.74600172
15,-1.796902776,-1.801928878
16,-1.80764401,-1.729122281
17,-1.817297578,-1.778932214
18,-1.941953301,-1.859008908
19,-1.955396891,-1.890744448
20,-1.964409471,-1.889431238
21,-1.96878016,-1.858741283
22,-1.973896027,-1.701355934
23,-1.978954434,-1.887960196
24,-1.984226942,-1.890681028
25,-2.019900084,-1.879388452
26,-2.024053574,-1.886433005
27,-2.025611162,-1.890452147